called        = number of times a third party package calls the method
packages      = number of third party package that call the method
atom packages = number of packages from the atom org that call the method

Atom                               called packages atom packages
  ::constructor                    42     29       0
  ::showSaveDialog                 1      1        1
  ::showSaveDialogSync             1      1        1

Clipboard                          called packages atom packages
  ::md5                            1      1        0

Config                             called packages atom packages
  ::setDefaults                    18     16       0
  ::constructor                    4      3        0
  ::load                           4      2        0

Cursor                             called packages atom packages
  ::destroy                        ∞      0        0
  ::constructor                    24     4        1
  ::getScreenRange                 11     6        1

Decoration                         called packages atom packages
  ::flash                          39     3        0

EditorView                         called packages atom packages
  ::scrollLeft                     ∞      0        0
  ::remove                         ∞      0        0
  ::scrollTop                      ∞      0        0
  ::getText                        ∞      0        0
  ::edit                           ∞      0        0
  ::insertText                     389    101      5
  ::setText                        182    94       10
  ::initialize                     76     25       1
  ::handleEvents                   22     5        0
  ::configure                      19     5        0
  ::appendToLinesView              16     11       2
  ::lineElementForScreenRow        9      7        0
  .buildLineHtml                   7      7        2
  ::replaceSelectedText            6      5        0
  ::scrollBottom                   5      3        1
  ::beforeRemove                   4      2        0
  ::screenPositionFromMouseEvent   4      3        0
  ::getModel                       4      4        1
  ::resetDisplay                   4      4        0
  ::getCursorView                  3      2        0
  ::afterAttach                    3      3        0
  ::isHidden                       2      1        1
  ::setModel                       2      1        0
  ::updateDisplay                  2      2        1
  ::toggleLineCommentsInSelection  2      2        0
  ::getCursorViews                 2      1        0
  ::clearLine                      2      2        0
  ::buildLineElementsForScreenRows 1      1        0
  ::scrollVertically               1      1        0
  ::updateLayerDimensions          1      1        0
  ::getPageRows                    1      1        0

Editor                             called packages atom packages
  ::isEmpty                        ∞      0        0
  ::indent                         402    211      8
  ::getBuffer                      297    121      17
  ::scan                           128    31       4
  ::constructor                    94     51       6
  ::copy                           82     27       4
  ::getTextInRange                 28     21       5
  ::inspect                        27     8        0
  ::pixelPositionForScreenPosition 25     15       3
  ::pixelPositionForBufferPosition 19     8        1
  ::scrollToBufferPosition         12     10       4
  ::getEofBufferPosition           11     6        2
  ::addSelection                   10     6        1
  ::isModified                     8      7        3
  ::moveCursors                    7      1        0
  ::getScreenLineCount             6      5        0
  ::replaceSelectedText            6      5        0
  ::removeCursor                   6      2        0
  ::bufferRangeForBufferRow        5      5        1
  ::scanInBufferRange              5      5        3
  ::clearSelections                5      2        1
  ::backwardsScanInBufferRange     3      3        2
